"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"138",138,33.598528373809,0.524140716246058,65.8773309099449,66.401471626191,-27.5731394861411,-0.189102029576914,27.7622415157179,27.5731394861411
"139",139,33.5813610148424,0.490589892526383,65.9280490926313,66.4186389851576,-27.5617840843292,-0.181907363126591,27.7436914474557,27.5617840843291
"140",140,33.565308713249,0.459171332346215,65.9755199544048,66.434691286751,-27.5510815296086,-0.174776385232896,27.7258579148414,27.5510815296086
"141",141,33.5502985718029,0.429751455283842,66.0199499729133,66.4497014281971,-27.5409959632571,-0.167737144532784,27.7087331077897,27.540995963257
"142",142,33.5362625174183,0.402204804715789,66.061532677866,66.4637374825817,-27.5314933404333,-0.160813294980929,27.6923066354141,27.5314933404333
"143",143,33.5231369749789,0.376413585352271,66.1004494396689,66.4768630250211,-27.5225413549936,-0.154024586013076,27.6765659410065,27.5225413549935
"144",144,33.5108625631402,0.352267222251685,66.1368702146082,66.4891374368598,-27.5141093644149,-0.147387304323599,27.6614966687384,27.5141093644149
"145",145,33.4993838125642,0.329661942497051,66.1709542449387,66.5006161874358,-27.5061683173284,-0.140914673148561,27.6470829904768,27.5061683173283
"146",146,33.4886489034779,0.308500377713267,66.2028507188089,66.5113510965221,-27.4986906823826,-0.134617211692491,27.6333078940749,27.4986906823825
"147",147,33.4786094211748,0.288691186871283,66.232699391954,66.5213905788252,-27.4916503787042,-0.128503058356272,27.6201534370603,27.4916503787041
"148",148,33.4692201285414,0.27014869905126,66.2606311724074,66.5307798714586,-27.4850227085174,-0.122578261405156,27.6076009699224,27.4850227085173
"149",149,33.4604387542379,0.252792575313206,66.286768670449,66.5395612457621,-27.4787842918869,-0.116847039953779,27.5956313318406,27.4787842918869
"150",150,33.4522257953979,0.236547488935613,66.3112267156665,66.5477742046021,-27.472913003656,-0.111312018026084,27.5842250216819,27.4729130036559
"151",151,33.4445443338072,0.221342823267574,66.3341128429253,66.5554556661928,-27.4673879126242,-0.105974434210506,27.5733623468346,27.4673879126242
"152",152,33.4373598645939,0.207112386432689,66.3555277489735,66.5626401354062,-27.4621892229883,-0.100834329210576,27.5630235521988,27.4621892229883
"153",153,33.4306401365439,0.193794142127243,66.3755657213288,66.5693598634561,-27.4572982180471,-0.0958907133921105,27.5531889314391,27.4572982180471
"154",154,33.424355003013,0.181329955466988,66.3943150415201,66.575644996987,-27.4526972059531,-0.0911417159470575,27.5438389219001,27.4526972059531
"155",155,33.4184762836553,0.169665354550668,66.4118583617941,66.5815237163447,-27.448369468467,-0.086584718825141,27.534954187292,27.4483694684669
